Rank,Model,CV_R2,MAE,RMSE,Test_R2,Adj_R2
1,CatBoost_Tuned,0.9290150959837945,2.554282688096705,3.947100337585171,0.9395392141883017,0.9370839538507707
2,CatBoost,,2.7046470855603597,4.113062348052508,0.9343479880339195,0.9316819164819974
3,LightGBM,0.9192525286643696,2.839555030656765,4.257500199779659,0.929656040785868,0.9267994333050911
4,XGBoost,0.9021277474552056,2.906827718314834,4.452198087209013,0.9230751936264272,0.9199513436214091
5,ExtraTrees,0.902434110934242,3.3847196275040035,5.293341091311772,0.8912630332468578,0.8868473188609435
6,RF_Tuned,0.8973728754051743,3.747655509459289,5.3159900634067325,0.8903305222618765,0.8858769394095669
7,MLP,0.9000507653177554,4.042035243647041,5.321674721723642,0.8900958465623883,0.8856327337324345
