Model,CV_R2,MAE,RMSE,Test_R2,Adj_R2
CatBoost_Tuned,0.9290150959837945,2.554282688096705,3.947100337585171,0.9395392141883017,0.9370839538507707
RF_Tuned,0.8973728754051743,3.747655509459289,5.3159900634067325,0.8903305222618765,0.8858769394095669
